code,name,continent,region,surfacearea,indepyear,population,lifeexpectancy,gnp,gnpold,localname,governmentform,headofstate,capital,code2
AFG,Afghanistan,Asia,Southern and Central Asia,652090.0,1919,22720000,45.9000015,5976,,Afganistan/Afqanestan,Islamic Emirate,Mohammad 
Omar,1,AF
NLD,Netherlands,Europe,Western Europe,41526.0,1581,15864000,78.3000031,371362,360478,Nederland,Constitutional Monarchy,Beatrix,5,NL
ANT,Netherlands Antilles,North America,Caribbean,800.0,,217000,74.6999969,1941,,Nederlandse Antillen,Nonmetropolitan Territory of The Netherlands,Beatrix,33,AN
ALB,Albania,Europe,Southern Europe,28748.0,1912,3401200,71.5999985,3205,2500,Shqipëria,Republic,Rexhep Mejdani,34,AL
DZA,Algeria,Africa,Northern Africa,2381741.0,1962,31471000,69.6999969,49982,46966,Al-Jazair/Algérie,Republic,Abdelaziz Bouteflika,35,DZ
ASM,American Samoa,Oceania,Polynesia,199.0,,68000,75.0999985,334,,Amerika Samoa,US Territory,George W. Bush,54,AS
AND,Andorra,Europe,Southern Europe,468.0,1278,78000,83.5,1630,,Andorra,Parliamentary Coprincipality,,55,AD
AGO,Angola,Africa,Central Africa,1246700.0,1975,12878000,38.2999992,6648,7984,Angola,Republic,José Eduardo dos Santos,56,AO
AIA,Anguilla,North America,Caribbean,96.0,,8000,76.0999985,63.2,,Anguilla,Dependent Territory of the UK,Elisabeth II,62,AI
ATG,Antigua and Barbuda,North America,Caribbean,442.0,1981,68000,70.5,612,584,Antigua and Barbuda,Constitutional Monarchy,Elisabeth II,63,AG
